"Story","Title","Result","Date","Stability","Duration (s)"
"Reestablecer contraseña","Error al reestablecer contraseña debido a token de recuperación inválido o expirado","PENDING","2024-04-11T09:49:24.0189475-05:00[America/Bogota]","0.0","0.48"
"Reestablecer contraseña","Error al reestablecer contraseña debido a token de recuperación invalido o expirado","PENDING","2024-04-11T09:57:44.2217513-05:00[America/Bogota]","0.0","0.62"
"Reestablecer contraseña","Reestablecer contraseña exitosamente","PENDING","2024-04-14T12:51:05.6202856-05:00[America/Bogota]","0.0","0.55"
