"Story","Title","Result","Date","Stability","Duration (s)"
"Inicio de sesión de usuario","Error al iniciar sesión debido a campos faltantes","PENDING","2024-04-03T22:29:39.7697095-05:00[America/Bogota]","0.0","0.06"
"Inicio de sesión de usuario","Error al iniciar sesión debido a credenciales inválidas","PENDING","2024-04-03T22:29:39.8793819-05:00[America/Bogota]","0.0","0.06"
"Inicio de sesión de usuario","Error interno al iniciar sesión","PENDING","2024-04-03T22:29:39.9726386-05:00[America/Bogota]","0.0","0.08"
"Reestablecer contraseña","Error al reestablecer contraseña debido a token de recuperación inválido o expirado","PENDING","2024-04-11T09:49:24.0189475-05:00[America/Bogota]","0.0","0.48"
"Reestablecer contraseña","Error al reestablecer contraseña debido a token de recuperación invalido o expirado","PENDING","2024-04-11T09:57:44.2217513-05:00[America/Bogota]","0.0","0.62"
"Reestablecer contraseña","Error al reestablecer contrasena debido a token de recuperación invalido o expirado","ERROR","2024-04-11T10:21:58.2110039-05:00[America/Bogota]","0.0","0.62"
"Reestablecer contraseña","Reestablecer contraseña exitosamente","PENDING","2024-04-14T12:51:05.6202856-05:00[America/Bogota]","0.0","0.55"
