"Story","Title","Result","Date","Stability","Duration (s)"
"Agregar un nuevo usuario","Agregar un nuevo usuario exitosamente","SUCCESS","2024-04-16T09:50:18.576448-05:00[America/Bogota]","0.0","7.79"
"Eliminar un usuario exitosamente","Eliminar un usuario exitosamente","SUCCESS","2024-04-16T09:59:34.2103327-05:00[America/Bogota]","0.0","5.68"
"Inicio de sesión de usuario","Inicio de sesión exitoso","SUCCESS","2024-04-16T10:09:05.6233073-05:00[America/Bogota]","0.0","5.92"
"Obtener todos los usuarios","Obtener todos los usuarios exitosamente","SUCCESS","2024-04-16T10:00:14.3705091-05:00[America/Bogota]","0.0","5.07"
"Solicitar recuperación de contraseña","Solicitar recuperacion de contraseña exitosamente","FAILURE","2024-04-14T15:42:53.6423849-05:00[America/Bogota]","0.0","5.06"
"Solicitar recuperacion de contrasena","Solicitar recuperacion de contrasena exitosamente","SUCCESS","2024-04-14T16:27:43.3399213-05:00[America/Bogota]","0.0","5.18"
